payment_id,policy_id,customer_id,payment_date,payment_amount,payment_method,payment_status
PAY00001,P0017,C019,2024-01-26,15750.0,UPI,Paid
PAY00002,P0034,C038,2024-02-01,13500.0,Credit Card,Paid
PAY00003,P0051,C057,2024-02-07,20500.0,Debit Card,Pending
PAY00004,P0068,C076,2024-02-13,31250.0,Net Banking,Failed
PAY00005,P0085,C095,2024-02-19,8125.0,Auto Debit,Paid
PAY00006,P0102,C014,2024-02-25,17000.0,UPI,Paid
PAY00007,P0119,C033,2024-03-02,6000.0,Credit Card,Paid
PAY00008,P0136,C052,2024-03-08,21750.0,Debit Card,Pending
PAY00009,P0003,C021,2024-03-14,28750.0,Net Banking,Failed
PAY00010,P0020,C040,2024-03-20,11250.0,Auto Debit,Paid
PAY00011,P0037,C059,2024-03-26,14500.0,UPI,Paid
PAY00012,P0054,C078,2024-04-01,12250.0,Credit Card,Paid
PAY00013,P0071,C097,2024-04-07,19250.0,Debit Card,Pending
PAY00014,P0088,C016,2024-04-13,30000.0,Net Banking,Failed
PAY00015,P0105,C035,2024-04-19,7500.0,Auto Debit,Paid
PAY00016,P0122,C054,2024-04-25,15750.0,UPI,Paid
PAY00017,P0139,C073,2024-05-01,13500.0,Credit Card,Paid
PAY00018,P0006,C042,2024-05-07,25500.0,Debit Card,Pending
PAY00019,P0023,C061,2024-05-13,27500.0,Net Banking,Failed
PAY00020,P0040,C080,2024-05-19,10625.0,Auto Debit,Paid
PAY00021,P0057,C099,2024-05-25,13250.0,UPI,Paid
PAY00022,P0074,C018,2024-05-31,11000.0,Credit Card,Paid
PAY00023,P0091,C037,2024-06-06,18000.0,Debit Card,Pending
PAY00024,P0108,C056,2024-06-12,28750.0,Net Banking,Failed
PAY00025,P0125,C075,2024-06-18,11250.0,Auto Debit,Paid
PAY00026,P0142,C094,2024-06-24,14500.0,UPI,Paid
PAY00027,P0009,C063,2024-06-30,8500.0,Credit Card,Paid
PAY00028,P0026,C082,2024-07-06,24250.0,Debit Card,Pending
PAY00029,P0043,C001,2024-07-12,26250.0,Net Banking,Failed
PAY00030,P0060,C020,2024-07-18,10000.0,Auto Debit,Paid
PAY00031,P0077,C039,2024-07-24,12000.0,UPI,Paid
PAY00032,P0094,C058,2024-07-30,9750.0,Credit Card,Paid
PAY00033,P0111,C077,2024-08-05,25500.0,Debit Card,Pending
PAY00034,P0128,C096,2024-08-11,27500.0,Net Banking,Failed
PAY00035,P0145,C015,2024-08-17,10625.0,Auto Debit,Paid
PAY00036,P0012,C084,2024-08-23,18250.0,UPI,Paid
PAY00037,P0029,C003,2024-08-29,7250.0,Credit Card,Paid
PAY00038,P0046,C022,2024-09-04,23000.0,Debit Card,Pending
PAY00039,P0063,C041,2024-09-10,25000.0,Net Banking,Failed
PAY00040,P0080,C060,2024-09-16,9375.0,Auto Debit,Paid
PAY00041,P0097,C079,2024-09-22,19500.0,UPI,Paid
PAY00042,P0114,C098,2024-09-28,8500.0,Credit Card,Paid
PAY00043,P0131,C017,2024-10-04,24250.0,Debit Card,Pending
PAY00044,P0148,C036,2024-10-10,26250.0,Net Banking,Failed
PAY00045,P0015,C005,2024-10-16,8125.0,Auto Debit,Paid
PAY00046,P0032,C024,2024-10-22,17000.0,UPI,Paid
PAY00047,P0049,C043,2024-10-28,6000.0,Credit Card,Paid
PAY00048,P0066,C062,2024-11-03,21750.0,Debit Card,Pending
PAY00049,P0083,C081,2024-11-09,32500.0,Net Banking,Failed
PAY00050,P0100,C100,2024-11-15,8750.0,Auto Debit,Paid
PAY00051,P0117,C019,2024-11-21,18250.0,UPI,Paid
PAY00052,P0134,C038,2024-11-27,7250.0,Credit Card,Paid
PAY00053,P0001,C007,2024-12-03,19250.0,Debit Card,Pending
PAY00054,P0018,C026,2024-12-09,30000.0,Net Banking,Failed
PAY00055,P0035,C045,2024-12-15,7500.0,Auto Debit,Paid
PAY00056,P0052,C064,2024-12-21,15750.0,UPI,Paid
PAY00057,P0069,C083,2024-12-27,13500.0,Credit Card,Paid
PAY00058,P0086,C002,2025-01-02,20500.0,Debit Card,Pending
PAY00059,P0103,C021,2025-01-08,31250.0,Net Banking,Failed
PAY00060,P0120,C040,2025-01-14,8125.0,Auto Debit,Paid
PAY00061,P0137,C059,2025-01-20,17000.0,UPI,Paid
PAY00062,P0004,C028,2025-01-26,11000.0,Credit Card,Paid
PAY00063,P0021,C047,2025-02-01,18000.0,Debit Card,Pending
PAY00064,P0038,C066,2025-02-07,28750.0,Net Banking,Failed
PAY00065,P0055,C085,2025-02-13,11250.0,Auto Debit,Paid
PAY00066,P0072,C004,2025-02-19,14500.0,UPI,Paid
PAY00067,P0089,C023,2025-02-25,12250.0,Credit Card,Paid
PAY00068,P0106,C042,2025-03-03,19250.0,Debit Card,Pending
PAY00069,P0123,C061,2025-03-09,30000.0,Net Banking,Failed
PAY00070,P0140,C080,2025-03-15,7500.0,Auto Debit,Paid
PAY00071,P0007,C049,2025-03-21,12000.0,UPI,Paid
PAY00072,P0024,C068,2025-03-27,9750.0,Credit Card,Paid
PAY00073,P0041,C087,2025-04-02,25500.0,Debit Card,Pending
PAY00074,P0058,C006,2025-04-08,27500.0,Net Banking,Failed
PAY00075,P0075,C025,2025-04-14,10625.0,Auto Debit,Paid
PAY00076,P0092,C044,2025-04-20,13250.0,UPI,Paid
PAY00077,P0109,C063,2025-04-26,11000.0,Credit Card,Paid
PAY00078,P0126,C082,2025-05-02,18000.0,Debit Card,Pending
PAY00079,P0143,C001,2025-05-08,28750.0,Net Banking,Failed
PAY00080,P0010,C070,2025-05-14,9375.0,Auto Debit,Paid
PAY00081,P0027,C089,2025-05-20,19500.0,UPI,Paid
PAY00082,P0044,C008,2025-05-26,8500.0,Credit Card,Paid
PAY00083,P0061,C027,2025-06-01,24250.0,Debit Card,Pending
PAY00084,P0078,C046,2025-06-07,26250.0,Net Banking,Failed
PAY00085,P0095,C065,2025-06-13,10000.0,Auto Debit,Paid
PAY00086,P0112,C084,2025-06-19,12000.0,UPI,Paid
PAY00087,P0129,C003,2025-06-25,9750.0,Credit Card,Paid
PAY00088,P0146,C022,2025-07-01,25500.0,Debit Card,Pending
