policy_id,customer_id,policy_type,plan_name,policy_start_date,policy_end_date,premium_amount,sum_assured,policy_status
P0001,C007,Health,Silver Health,2024-01-19,2025-01-18,19250,600000,Active
P0002,C014,Motor,Third Party,2024-01-28,2025-01-27,14500,1000000,Active
P0003,C021,Life,Endowment,2024-02-06,2025-02-05,28750,2800000,Expired
P0004,C028,Travel,Domestic Travel,2024-02-15,2026-02-14,11000,1400000,Cancelled
P0005,C035,Home,Property Plus,2024-02-24,2025-02-23,21250,1500000,Active
P0006,C042,Health,Family Health,2024-03-04,2025-03-04,25500,600000,Active
P0007,C049,Motor,Comprehensive,2024-03-13,2025-03-13,12000,1000000,Active
P0008,C056,Life,Whole Life,2024-03-22,2026-03-22,26250,2800000,Expired
P0009,C063,Travel,Student Travel,2024-03-31,2025-03-31,8500,1400000,Cancelled
P0010,C070,Home,Home Secure,2024-04-09,2025-04-09,18750,1500000,Active
P0011,C077,Health,Gold Health,2024-04-18,2025-04-18,23000,600000,Active
P0012,C084,Motor,Zero Dep,2024-04-27,2026-04-27,18250,1000000,Active
P0013,C091,Life,Term Life,2024-05-06,2025-05-06,32500,2800000,Expired
P0014,C098,Travel,International Travel,2024-05-15,2025-05-15,6000,1400000,Cancelled
P0015,C005,Home,Home Premium,2024-05-24,2025-05-24,16250,1500000,Active
P0016,C012,Health,Silver Health,2024-06-02,2026-06-02,20500,600000,Active
P0017,C019,Motor,Third Party,2024-06-11,2025-06-11,15750,1000000,Active
P0018,C026,Life,Endowment,2024-06-20,2025-06-20,30000,2800000,Expired
P0019,C033,Travel,Domestic Travel,2024-06-29,2025-06-29,12250,1400000,Cancelled
P0020,C040,Home,Property Plus,2024-07-08,2026-07-08,22500,1500000,Active
P0021,C047,Health,Family Health,2024-07-17,2025-07-17,18000,600000,Active
P0022,C054,Motor,Comprehensive,2024-07-26,2025-07-26,13250,1000000,Active
P0023,C061,Life,Whole Life,2024-08-04,2025-08-04,27500,2800000,Expired
P0024,C068,Travel,Student Travel,2024-08-13,2026-08-13,9750,1400000,Cancelled
P0025,C075,Home,Home Secure,2024-08-22,2025-08-22,20000,1500000,Active
P0026,C082,Health,Gold Health,2024-08-31,2025-08-31,24250,600000,Active
P0027,C089,Motor,Zero Dep,2024-09-09,2025-09-09,19500,1000000,Active
P0028,C096,Life,Term Life,2024-09-18,2026-09-18,25000,2800000,Expired
P0029,C003,Travel,International Travel,2024-09-27,2025-09-27,7250,1400000,Cancelled
P0030,C010,Home,Home Premium,2024-10-06,2025-10-06,17500,1500000,Active
